attempt_id,sentence_id,voice,original_text,spoken_text,kind,component,from,to,position,score,stt_text
99,1,ko-KR-SunHiNeural,국물이 정말 시원하다,국물이 정말 시원하다,normal,,,,,100,국물이 정말 시원하다.
100,1,ko-KR-SunHiNeural,국물이 정말 시원하다,국물이 종말 시원하다,perturbed,jungseong,ㅓ,ㅗ,4,100,국물이 정말 시원하다.
101,1,ko-KR-SunHiNeural,국물이 정말 시원하다,국믈이 정말 시원하다,perturbed,jungseong,ㅜ,ㅡ,1,100,국물이 정말 시원하다.
102,2,ko-KR-SunHiNeural,밥을 먹었다,밥을 먹었다,normal,,,,,100,밥을 먹었다
103,2,ko-KR-SunHiNeural,밥을 먹었다,밥을 먹덨다,perturbed,choseong,ㅇ,ㄷ,4,73,밥을 먹던다
104,2,ko-KR-SunHiNeural,밥을 먹었다,븝을 먹었다,perturbed,jungseong,ㅏ,ㅡ,0,80,그불 먹었다
105,3,ko-KR-SunHiNeural,신라면이 맵다,신라면이 맵다,normal,,,,,100,신라면이 맵다.
106,3,ko-KR-SunHiNeural,신라면이 맵다,신라몀이 맵다,perturbed,jongseong,ㄴ,ㅁ,2,100,신라면이 맵다.
107,3,ko-KR-SunHiNeural,신라면이 맵다,신라면이 맵타,perturbed,choseong,ㄷ,ㅌ,6,100,신라면이 맵다.
108,4,ko-KR-SunHiNeural,좋다고 말했다,좋다고 말했다,normal,,,,,100,좋다고 말했다.
109,4,ko-KR-SunHiNeural,좋다고 말했다,좋다구 말했다,perturbed,jungseong,ㅗ,ㅜ,2,100,좋다고 말했다.
110,4,ko-KR-SunHiNeural,좋다고 말했다,좋다고 말했더,perturbed,jungseong,ㅏ,ㅓ,6,100,좋다고 말했다.
111,5,ko-KR-SunHiNeural,학교에 갔다,학교에 갔다,normal,,,,,100,학교에 갔다
112,5,ko-KR-SunHiNeural,학교에 갔다,힉교에 갔다,perturbed,jungseong,ㅏ,ㅣ,0,87,식교에 갔다
113,5,ko-KR-SunHiNeural,학교에 갔다,학교에 겄다,perturbed,jungseong,ㅏ,ㅓ,4,93,학교에 걷다
114,6,ko-KR-SunHiNeural,옷이 예쁘다,옷이 예쁘다,normal,,,,,100,옷이 예쁘다.
115,6,ko-KR-SunHiNeural,옷이 예쁘다,옷이 예뿌다,perturbed,jungseong,ㅡ,ㅜ,4,100,옷이 예쁘다.
116,6,ko-KR-SunHiNeural,옷이 예쁘다,온이 예쁘다,perturbed,jongseong,ㅅ,ㄴ,0,93,오니 예쁘다
117,7,ko-KR-SunHiNeural,어머니가 오셨다,어머니가 오셨다,normal,,,,,100,어머니가 오셨다.
118,7,ko-KR-SunHiNeural,어머니가 오셨다,어머니가 소셨다,perturbed,choseong,ㅇ,ㅅ,5,95,어머니가 소셨다.
119,7,ko-KR-SunHiNeural,어머니가 오셨다,어머니카 오셨다,perturbed,choseong,ㄱ,ㅋ,3,100,어머니가 오셨다.
120,8,ko-KR-SunHiNeural,라디오를 켰다,라디오를 켰다,normal,,,,,100,라디오를 켰다.
121,8,ko-KR-SunHiNeural,라디오를 켰다,라디도를 켰다,perturbed,choseong,ㅇ,ㄷ,2,94,라디도를 켰다.
122,8,ko-KR-SunHiNeural,라디오를 켰다,루디오를 켰다,perturbed,jungseong,ㅏ,ㅜ,0,94,로디오를 켰다.
123,9,ko-KR-SunHiNeural,읽고 다시 말했다,읽고 다시 말했다,normal,,,,,100,읽고 다시 말했다.
124,9,ko-KR-SunHiNeural,읽고 다시 말했다,읅고 다시 말했다,perturbed,jungseong,ㅣ,ㅡ,0,86,물고 다시 말했다.
125,9,ko-KR-SunHiNeural,읽고 다시 말했다,읽고 다시 말헸다,perturbed,jungseong,ㅐ,ㅔ,7,100,읽고 다시 말했다.
126,10,ko-KR-SunHiNeural,같이 갑시다,같이 갑시다,normal,,,,,100,같이 갑시다.
127,10,ko-KR-SunHiNeural,같이 갑시다,같이 갑씨다,perturbed,choseong,ㅅ,ㅆ,4,100,같이 갑시다.
128,10,ko-KR-SunHiNeural,같이 갑시다,같으 갑시다,perturbed,jungseong,ㅣ,ㅡ,1,87,가트 갑시다
129,11,ko-KR-SunHiNeural,웃음이 절로 나온다,웃음이 절로 나온다,normal,,,,,100,웃음이 절로 나온다.
130,11,ko-KR-SunHiNeural,웃음이 절로 나온다,웃음이 졸로 나온다,perturbed,jungseong,ㅓ,ㅗ,4,96,웃음이 졸로 나온다.
131,11,ko-KR-SunHiNeural,웃음이 절로 나온다,웃음이 절로 나운다,perturbed,jungseong,ㅗ,ㅜ,8,100,웃음이 절로 나온다.
132,12,ko-KR-SunHiNeural,구름이 하늘에 떠 있다,구름이 하늘에 떠 있다,normal,,,,,100,구름이 하늘에 떠있다.
133,12,ko-KR-SunHiNeural,구름이 하늘에 떠 있다,구룸이 하늘에 떠 있다,perturbed,jungseong,ㅡ,ㅜ,1,100,구름이 하늘에 떠있다
134,12,ko-KR-SunHiNeural,구름이 하늘에 떠 있다,구름이 하늘애 떠 있다,perturbed,jungseong,ㅔ,ㅐ,6,100,구름이 하늘에 떠있다.
135,13,ko-KR-SunHiNeural,꽃이 활짝 피었다,꽃이 활짝 피었다,normal,,,,,100,꽃이 활짝 피었다.
136,13,ko-KR-SunHiNeural,꽃이 활짝 피었다,꼭이 활짝 피었다,perturbed,jongseong,ㅊ,ㄱ,0,90,고기 활짝 피었다.
137,13,ko-KR-SunHiNeural,꽃이 활짝 피었다,꽃이 활짝 피옸다,perturbed,jungseong,ㅓ,ㅗ,7,95,꽃이 활짝 피웠다.
138,14,ko-KR-SunHiNeural,얼음이 녹아 물이 되었다,얼음이 녹아 물이 되었다,normal,,,,,97,얼음이 녹아 불이 되었다
