file,target_text,intended_text,model,temperature,recognized,elapsed_sec,verdict,note
normal_01.wav,국물이 정말 시원하다,국물이 정말 시원하다,small,0.0,국물이 정말 시원하다.,1.9,정확 인식,정상 발음
normal_01.wav,국물이 정말 시원하다,국물이 정말 시원하다,small,0.6,국물이 정말 시원하다.,1.7,정확 인식,정상 발음
normal_01.wav,국물이 정말 시원하다,국물이 정말 시원하다,medium,0.0,국물이 정말 시원하다,5.5,정확 인식,정상 발음
normal_01.wav,국물이 정말 시원하다,국물이 정말 시원하다,medium,0.6,국물이 정말 시원하다,5.8,정확 인식,정상 발음
normal_02.wav,밥을 먹었다,밥을 먹었다,small,0.0,밥을 먹었다,1.9,정확 인식,정상 발음
normal_02.wav,밥을 먹었다,밥을 먹었다,small,0.6,밥을 먹었다,1.9,정확 인식,정상 발음
normal_02.wav,밥을 먹었다,밥을 먹었다,medium,0.0,밥을 먹었다.,5.6,정확 인식,정상 발음
normal_02.wav,밥을 먹었다,밥을 먹었다,medium,0.6,밥을 먹었다.,5.9,정확 인식,정상 발음
normal_03.wav,신라면이 맵다,신라면이 맵다,small,0.0,신라면이 맵다.,2.1,정확 인식,정상 발음
normal_03.wav,신라면이 맵다,신라면이 맵다,small,0.6,신라면이 맵다.,2.1,정확 인식,정상 발음
normal_03.wav,신라면이 맵다,신라면이 맵다,medium,0.0,신라면이 맵다,6.1,정확 인식,정상 발음
normal_03.wav,신라면이 맵다,신라면이 맵다,medium,0.6,실라면이 맵다,6.0,오인식,정상 발음
normal_04.wav,좋다고 말했다,좋다고 말했다,small,0.0,좋다고 말했다.,2.0,정확 인식,정상 발음
normal_04.wav,좋다고 말했다,좋다고 말했다,small,0.6,좋다고 말했다,2.1,정확 인식,정상 발음
normal_04.wav,좋다고 말했다,좋다고 말했다,medium,0.0,좋다고 말했다.,6.1,정확 인식,정상 발음
normal_04.wav,좋다고 말했다,좋다고 말했다,medium,0.6,좋다고 말했다.,6.0,정확 인식,정상 발음
normal_05.wav,학교에 갔다,학교에 갔다,small,0.0,학교에 갔다,2.0,정확 인식,정상 발음
normal_05.wav,학교에 갔다,학교에 갔다,small,0.6,학교에 갔다,2.0,정확 인식,정상 발음
normal_05.wav,학교에 갔다,학교에 갔다,medium,0.0,학교에 갔다,5.9,정확 인식,정상 발음
normal_05.wav,학교에 갔다,학교에 갔다,medium,0.6,학교에 갔다,6.0,정확 인식,정상 발음
normal_06.wav,옷이 예쁘다,옷이 예쁘다,small,0.0,옷이 예쁘다,2.0,정확 인식,정상 발음
normal_06.wav,옷이 예쁘다,옷이 예쁘다,small,0.6,옷이 예쁘다,2.0,정확 인식,정상 발음
normal_06.wav,옷이 예쁘다,옷이 예쁘다,medium,0.0,옷이 예쁘다,5.8,정확 인식,정상 발음
normal_06.wav,옷이 예쁘다,옷이 예쁘다,medium,0.6,옷이 예쁘다,5.8,정확 인식,정상 발음
normal_07.wav,어머니가 오셨다,어머니가 오셨다,small,0.0,어머니가 오셨다,2.0,정확 인식,정상 발음
normal_07.wav,어머니가 오셨다,어머니가 오셨다,small,0.6,어머니가 오셨다,2.0,정확 인식,정상 발음
normal_07.wav,어머니가 오셨다,어머니가 오셨다,medium,0.0,어머니가 오셨다,6.0,정확 인식,정상 발음
normal_07.wav,어머니가 오셨다,어머니가 오셨다,medium,0.6,어머니가 오셨다,5.9,정확 인식,정상 발음
normal_08.wav,라디오를 켰다,라디오를 켰다,small,0.0,라디오를 켰다,2.1,정확 인식,정상 발음
normal_08.wav,라디오를 켰다,라디오를 켰다,small,0.6,라디오를 켰다,2.1,정확 인식,정상 발음
normal_08.wav,라디오를 켰다,라디오를 켰다,medium,0.0,라디오를 켰다,5.9,정확 인식,정상 발음
normal_08.wav,라디오를 켰다,라디오를 켰다,medium,0.6,라디오를 켰다,6.0,정확 인식,정상 발음
normal_09.wav,읽고 다시 말했다,읽고 다시 말했다,small,0.0,읽고 다시 말했다,2.0,정확 인식,정상 발음
normal_09.wav,읽고 다시 말했다,읽고 다시 말했다,small,0.6,읽고 다시 말했다,2.0,정확 인식,정상 발음
