attempt_id,sentence_id,voice,rate,pitch,original_text,spoken_text,kind,component,from,to,position,score,stt_text
297,1,ko-KR-SunHiNeural,+10%,-20Hz,국물이 정말 시원하다,국물이 정말 시원하다,normal,,,,,100,국물이 정말 시원하다.
298,1,ko-KR-SunHiNeural,+10%,+0Hz,국물이 정말 시원하다,국물이 정마 시원하다,perturbed,jongseong,ㄹ,(삭제),5,100,국물이 정말 시원하다.
299,1,ko-KR-SunHiNeural,+10%,-10Hz,국물이 정말 시원하다,국물이 정마 시원하다,perturbed,jongseong,ㄹ,(삭제),5,100,국물이 정말 시원하다.
300,2,ko-KR-SunHiNeural,-5%,+10Hz,밥을 먹었다,밥을 먹었다,normal,,,,,100,밥을 먹었다
301,2,ko-KR-SunHiNeural,-10%,-20Hz,밥을 먹었다,팝을 먹었다,perturbed,choseong,ㅂ,ㅍ,0,93,탑을 먹었다
302,2,ko-KR-SunHiNeural,+5%,+10Hz,밥을 먹었다,밥을 먹었타,perturbed,choseong,ㄷ,ㅌ,5,100,밥을 먹었다
303,3,ko-KR-SunHiNeural,+10%,-20Hz,신라면이 맵다,신라면이 맵다,normal,,,,,100,실라면이 맵다
304,3,ko-KR-SunHiNeural,+10%,+20Hz,신라면이 맵다,신라며이 맵다,perturbed,jongseong,ㄴ,(삭제),2,94,신라며이 맵다
305,3,ko-KR-SunHiNeural,-10%,-10Hz,신라면이 맵다,시라면이 맵다,perturbed,jongseong,ㄴ,(삭제),0,89,실화면이 맵다.
306,4,ko-KR-SunHiNeural,+10%,+10Hz,좋다고 말했다,좋다고 말했다,normal,,,,,100,좋다고 말했다.
307,4,ko-KR-SunHiNeural,+5%,+20Hz,좋다고 말했다,좋다고 마했다,perturbed,jongseong,ㄹ,(삭제),4,100,좋다고 말했다.
308,4,ko-KR-SunHiNeural,+10%,-20Hz,좋다고 말했다,조다고 말했다,perturbed,jongseong,ㅎ,(삭제),0,100,좋다고 말했다
309,5,ko-KR-SunHiNeural,-5%,+10Hz,학교에 갔다,학교에 갔다,normal,,,,,100,학교에 갔다
310,5,ko-KR-SunHiNeural,-5%,+10Hz,학교에 갔다,학교에 캈다,perturbed,choseong,ㄱ,ㅋ,4,100,학교에 갔다
311,5,ko-KR-SunHiNeural,+10%,+10Hz,학교에 갔다,학쿄에 갔다,perturbed,choseong,ㄱ,ㅋ,1,100,학교에 갔다
312,6,ko-KR-SunHiNeural,+10%,-20Hz,옷이 예쁘다,옷이 예쁘다,normal,,,,,100,옷이 예쁘다.
313,6,ko-KR-SunHiNeural,+0%,-20Hz,옷이 예쁘다,옷이 예뿌다,perturbed,jungseong,ㅡ,ㅜ,4,100,옷이 예쁘다.
314,6,ko-KR-SunHiNeural,+0%,+0Hz,옷이 예쁘다,옷이 예브다,perturbed,choseong,ㅃ,ㅂ,4,100,옷이 예쁘다.
315,7,ko-KR-SunHiNeural,+0%,-20Hz,어머니가 오셨다,어머니가 오셨다,normal,,,,,100,어머니가 오셨다.
316,7,ko-KR-SunHiNeural,+0%,-20Hz,어머니가 오셨다,어머니가 오셨타,perturbed,choseong,ㄷ,ㅌ,7,100,어머니가 오셨다.
317,7,ko-KR-SunHiNeural,-5%,-20Hz,어머니가 오셨다,어머니가 오셔다,perturbed,jongseong,ㅆ,(삭제),6,90,어머니가 오셔다.
318,8,ko-KR-SunHiNeural,-10%,+10Hz,라디오를 켰다,라디오를 켰다,normal,,,,,100,라디오를 켰다.
319,8,ko-KR-SunHiNeural,-10%,-10Hz,라디오를 켰다,라디오를 겼다,perturbed,choseong,ㅋ,ㄱ,5,89,라디오를 겪다.
320,8,ko-KR-SunHiNeural,-5%,+0Hz,라디오를 켰다,라디오르 켰다,perturbed,jongseong,ㄹ,(삭제),3,100,라디오를 켰다.
321,9,ko-KR-SunHiNeural,-5%,-20Hz,읽고 다시 말했다,읽고 다시 말했다,normal,,,,,100,읽고 다시 말했다.
322,9,ko-KR-SunHiNeural,-5%,+0Hz,읽고 다시 말했다,이고 다시 말했다,perturbed,jongseong,ㄺ,(삭제),0,86,이거 다시 말했다.
323,9,ko-KR-SunHiNeural,-10%,+10Hz,읽고 다시 말했다,읽고 다시 말해다,perturbed,jongseong,ㅆ,(삭제),7,90,읽고 다시 말해다.
324,10,ko-KR-SunHiNeural,+0%,-20Hz,같이 갑시다,같이 갑시다,normal,,,,,100,같이 갑시다.
325,10,ko-KR-SunHiNeural,-5%,+20Hz,같이 갑시다,같이 캅시다,perturbed,choseong,ㄱ,ㅋ,3,100,같이 갑시다.
326,10,ko-KR-SunHiNeural,+0%,+20Hz,같이 갑시다,같이 갇시다,perturbed,jongseong,ㅂ,ㄷ,3,87,같이 가시다.
327,11,ko-KR-SunHiNeural,+10%,+0Hz,웃음이 절로 나온다,웃음이 절로 나온다,normal,,,,,100,웃음이 절로 나온다.
328,11,ko-KR-SunHiNeural,-10%,+0Hz,웃음이 절로 나온다,웃음이 절로 나언다,perturbed,jungseong,ㅗ,ㅓ,8,100,웃음이 절로 나온다.
329,11,ko-KR-SunHiNeural,-10%,+20Hz,웃음이 절로 나온다,웃으이 절로 나온다,perturbed,jongseong,ㅁ,(삭제),1,92,우스위절로 나온다.
330,12,ko-KR-SunHiNeural,+5%,-20Hz,구름이 하늘에 떠 있다,구름이 하늘에 떠 있다,normal,,,,,100,구름이 하늘에 떠 있다.
331,12,ko-KR-SunHiNeural,-10%,+10Hz,구름이 하늘에 떠 있다,구름이 하늘에 더 있다,perturbed,choseong,ㄸ,ㄷ,8,96,구름이 하늘에 더 있다.
332,12,ko-KR-SunHiNeural,+5%,+10Hz,구름이 하늘에 떠 있다,구름이 하눌에 떠 있다,perturbed,jungseong,ㅡ,ㅜ,5,100,구름이 하늘에 떠있다.
333,13,ko-KR-SunHiNeural,+10%,-20Hz,꽃이 활짝 피었다,꽃이 활짝 피었다,normal,,,,,100,꽃이 활짝 피었다.
334,13,ko-KR-SunHiNeural,+5%,-20Hz,꽃이 활짝 피었다,곷이 활짝 피었다,perturbed,choseong,ㄲ,ㄱ,0,90,고치 활짝 피웠다.
335,13,ko-KR-SunHiNeural,+0%,+0Hz,꽃이 활짝 피었다,꽃이 활작 피었다,perturbed,choseong,ㅉ,ㅈ,4,100,꽃이 활짝 피었다.
336,14,ko-KR-SunHiNeural,-5%,-10Hz,얼음이 녹아 물이 되었다,얼음이 녹아 물이 되었다,normal,,,,,100,얼음이 녹아 물이 되었다.
337,14,ko-KR-SunHiNeural,+5%,+0Hz,얼음이 녹아 물이 되었다,어음이 녹아 물이 되었다,perturbed,jongseong,ㄹ,(삭제),0,90,어미 녹아 물이 되었다
